"Year","County FIPS Code","County Name","Gross Domestic Product ($1,000)","GDP Unit of Measure"
"2017","42019","Butler, PA","$10,402,480","Thousands of dollars"
"2017","42021","Cambria, PA","$4,692,840","Thousands of dollars"
"2017","42023","Cameron, PA","$207,428","Thousands of dollars"
"2017","42025","Carbon, PA","$2,460,488","Thousands of dollars"
"2017","42027","Centre, PA","$8,878,239","Thousands of dollars"
"2017","42029","Chester, PA","$43,750,772","Thousands of dollars"
"2017","42031","Clarion, PA","$1,193,138","Thousands of dollars"
"2017","42033","Clearfield, PA","$2,798,124","Thousands of dollars"
"2017","42035","Clinton, PA","$1,626,512","Thousands of dollars"
"2017","42037","Columbia, PA","$2,459,622","Thousands of dollars"
"2017","42039","Crawford, PA","$2,974,434","Thousands of dollars"
"2017","42041","Cumberland, PA","$15,351,164","Thousands of dollars"
"2017","42043","Dauphin, PA","$22,365,174","Thousands of dollars"
"2017","42045","Delaware, PA","$33,980,298","Thousands of dollars"
"2017","42047","Elk, PA","$1,468,513","Thousands of dollars"
"2017","42049","Erie, PA","$11,500,326","Thousands of dollars"
"2017","42051","Fayette, PA","$4,325,408","Thousands of dollars"
"2017","42053","Forest, PA","$241,161","Thousands of dollars"
